dataset,arm,backbone,h,seed,variant,pinball,crps,cov80,cov_lo,cov_hi,val_cov80
jeju_wind,revin,rlinear_q,48,4,perstep,0.249095,0.498189,0.814367,0.079662,0.894029,0.800054
jeju_wind,san,rlinear_q,48,0,none,0.255611,0.511222,0.707381,0.158662,0.866043,0.633858
jeju_wind,san,rlinear_q,48,0,pooled,0.255233,0.510466,0.85414,0.063073,0.917214,0.799996
jeju_wind,san,rlinear_q,48,0,perstep,0.254743,0.509486,0.854161,0.063641,0.917803,0.79986
jeju_wind,san,rlinear_q,48,1,none,0.25864,0.517281,0.7115,0.154291,0.86579,0.629014
jeju_wind,san,rlinear_q,48,1,pooled,0.258668,0.517335,0.859621,0.058845,0.918465,0.799996
jeju_wind,san,rlinear_q,48,1,perstep,0.258192,0.516384,0.861483,0.057735,0.919218,0.79986
jeju_wind,san,rlinear_q,48,2,none,0.255812,0.511625,0.712047,0.154775,0.866821,0.634236
jeju_wind,san,rlinear_q,48,2,pooled,0.255889,0.511779,0.858343,0.058119,0.916462,0.799996
jeju_wind,san,rlinear_q,48,2,perstep,0.255478,0.510957,0.856986,0.05967,0.916656,0.79986
jeju_wind,san,rlinear_q,48,3,none,0.253809,0.507617,0.705646,0.158141,0.863787,0.63458
jeju_wind,san,rlinear_q,48,3,pooled,0.253297,0.506594,0.853951,0.06099,0.914942,0.799996
jeju_wind,san,rlinear_q,48,3,perstep,0.252793,0.505586,0.853441,0.062205,0.915646,0.79986
jeju_wind,san,rlinear_q,48,4,none,0.254919,0.509838,0.71404,0.151125,0.865165,0.630847
jeju_wind,san,rlinear_q,48,4,pooled,0.255046,0.510092,0.856249,0.061059,0.917308,0.799996
jeju_wind,san,rlinear_q,48,4,perstep,0.254544,0.509088,0.856807,0.061411,0.918218,0.79986
jeju_wind,fan,rlinear_q,48,0,none,0.312293,0.624587,0.285918,0.417345,0.703263,0.246325
jeju_wind,fan,rlinear_q,48,0,pooled,0.281796,0.563592,0.833738,0.085627,0.919365,0.799996
jeju_wind,fan,rlinear_q,48,0,perstep,0.277313,0.554626,0.834617,0.085716,0.920333,0.79986
jeju_wind,fan,rlinear_q,48,1,none,0.314913,0.629826,0.422021,0.301018,0.723039,0.359941
jeju_wind,fan,rlinear_q,48,1,pooled,0.297762,0.595525,0.824713,0.086242,0.910955,0.799996
jeju_wind,fan,rlinear_q,48,1,perstep,0.295203,0.590405,0.824229,0.087515,0.911744,0.79986
jeju_wind,fan,rlinear_q,48,2,none,0.320056,0.640113,0.395812,0.357338,0.753151,0.337934
jeju_wind,fan,rlinear_q,48,2,pooled,0.300826,0.601653,0.821888,0.104793,0.926681,0.799996
jeju_wind,fan,rlinear_q,48,2,perstep,0.29784,0.595681,0.828631,0.099628,0.928259,0.79986
jeju_wind,fan,rlinear_q,48,3,none,0.336121,0.672242,0.443522,0.301923,0.745445,0.410538
jeju_wind,fan,rlinear_q,48,3,pooled,0.317847,0.635693,0.813031,0.09511,0.908141,0.799996
jeju_wind,fan,rlinear_q,48,3,perstep,0.315303,0.630607,0.816702,0.093663,0.910366,0.79986
