[supervised] attempt 1/3 2026-07-20 13:40:04 :: uv run python -m experiments.g7_blocke --arms revin_all,linmix_raw,linmix_revin,linmix_condnorm
[168] gefcom_solar_linmix_raw_24_2: mse=0.1557 mae=0.2906 (0.3s)
[169] gefcom_solar_linmix_raw_24_3: mse=0.1559 mae=0.2877 (0.35s)
[170] gefcom_solar_linmix_raw_24_4: mse=0.1583 mae=0.2917 (0.36s)
[171] gefcom_solar_linmix_revin_24_0: mse=0.1451 mae=0.2770 (0.47s)
[172] gefcom_solar_linmix_revin_24_1: mse=0.1507 mae=0.2839 (0.6s)
[173] gefcom_solar_linmix_revin_24_2: mse=0.1474 mae=0.2809 (0.73s)
[174] gefcom_solar_linmix_revin_24_3: mse=0.1450 mae=0.2802 (0.7s)
[175] gefcom_solar_linmix_revin_24_4: mse=0.1462 mae=0.2796 (0.52s)
[176] gefcom_solar_linmix_condnorm_24_0: mse=0.0641 mae=0.1528 (0.25s)
[177] gefcom_solar_linmix_condnorm_24_1: mse=0.0637 mae=0.1512 (0.26s)
[178] gefcom_solar_linmix_condnorm_24_2: mse=0.0640 mae=0.1523 (0.27s)
[179] gefcom_solar_linmix_condnorm_24_3: mse=0.0640 mae=0.1520 (0.26s)
[180] gefcom_solar_linmix_condnorm_24_4: mse=0.0634 mae=0.1517 (0.26s)
[181] gefcom_solar_revin_all_96_0: mse=26.2763 mae=2.1266 (0.48s)
[182] gefcom_solar_revin_all_96_1: mse=37.8871 mae=2.6905 (0.31s)
[183] gefcom_solar_revin_all_96_2: mse=34.7806 mae=2.4623 (0.38s)
[184] gefcom_solar_revin_all_96_3: mse=33.3316 mae=2.1604 (0.37s)
[185] gefcom_solar_revin_all_96_4: mse=28.6812 mae=2.4446 (0.78s)
[186] gefcom_solar_linmix_raw_96_0: mse=0.1405 mae=0.2728 (0.45s)
[187] gefcom_solar_linmix_raw_96_1: mse=0.1421 mae=0.2732 (0.29s)
[188] gefcom_solar_linmix_raw_96_2: mse=0.1465 mae=0.2774 (0.3s)
[189] gefcom_solar_linmix_raw_96_3: mse=0.1417 mae=0.2748 (0.3s)
[190] gefcom_solar_linmix_raw_96_4: mse=0.1416 mae=0.2745 (0.31s)
[191] gefcom_solar_linmix_revin_96_0: mse=0.1513 mae=0.2785 (0.52s)
[192] gefcom_solar_linmix_revin_96_1: mse=0.1481 mae=0.2775 (0.47s)
[193] gefcom_solar_linmix_revin_96_2: mse=0.1521 mae=0.2802 (0.45s)
[194] gefcom_solar_linmix_revin_96_3: mse=0.1491 mae=0.2780 (0.47s)
[195] gefcom_solar_linmix_revin_96_4: mse=0.1461 mae=0.2748 (0.45s)
[196] gefcom_solar_linmix_condnorm_96_0: mse=0.0619 mae=0.1478 (0.29s)
[197] gefcom_solar_linmix_condnorm_96_1: mse=0.0620 mae=0.1479 (0.36s)
[198] gefcom_solar_linmix_condnorm_96_2: mse=0.0617 mae=0.1469 (0.34s)
[199] gefcom_solar_linmix_condnorm_96_3: mse=0.0617 mae=0.1469 (0.41s)
[200] gefcom_solar_linmix_condnorm_96_4: mse=0.0617 mae=0.1468 (0.24s)
[201] gefcom_solar_revin_all_336_0: mse=936.8364 mae=13.1427 (0.54s)
[202] gefcom_solar_revin_all_336_1: mse=1058.7697 mae=13.9420 (0.39s)
[203] gefcom_solar_revin_all_336_2: mse=879.6246 mae=12.9817 (0.5s)
[204] gefcom_solar_revin_all_336_3: mse=847.5467 mae=12.3300 (0.34s)
[205] gefcom_solar_revin_all_336_4: mse=848.0627 mae=12.3061 (0.33s)
[206] gefcom_solar_linmix_raw_336_0: mse=0.1848 mae=0.3210 (0.37s)
[207] gefcom_solar_linmix_raw_336_1: mse=0.1788 mae=0.3145 (0.38s)
[208] gefcom_solar_linmix_raw_336_2: mse=0.1771 mae=0.3151 (0.42s)
[209] gefcom_solar_linmix_raw_336_3: mse=0.1809 mae=0.3177 (0.4s)
[210] gefcom_solar_linmix_raw_336_4: mse=0.1771 mae=0.3126 (0.5s)
[211] gefcom_solar_linmix_revin_336_0: mse=0.1879 mae=0.3205 (0.83s)
[212] gefcom_solar_linmix_revin_336_1: mse=0.1868 mae=0.3189 (0.53s)
[213] gefcom_solar_linmix_revin_336_2: mse=0.1877 mae=0.3217 (0.64s)
[214] gefcom_solar_linmix_revin_336_3: mse=0.1927 mae=0.3248 (0.57s)
[215] gefcom_solar_linmix_revin_336_4: mse=0.1877 mae=0.3193 (0.55s)
[216] gefcom_solar_linmix_condnorm_336_0: mse=0.0653 mae=0.1566 (0.26s)
[217] gefcom_solar_linmix_condnorm_336_1: mse=0.0655 mae=0.1572 (0.27s)
[218] gefcom_solar_linmix_condnorm_336_2: mse=0.0655 mae=0.1572 (0.27s)
[219] gefcom_solar_linmix_condnorm_336_3: mse=0.0658 mae=0.1583 (0.26s)
[220] gefcom_solar_linmix_condnorm_336_4: mse=0.0656 mae=0.1572 (0.3s)
[221] etth1_revin_all_24_0: mse=0.3249 mae=0.3648 (0.2s)
[222] etth1_revin_all_24_1: mse=0.3248 mae=0.3643 (0.2s)
[223] etth1_revin_all_24_2: mse=0.3234 mae=0.3636 (0.23s)
[224] etth1_revin_all_24_3: mse=0.3238 mae=0.3648 (0.32s)
[225] etth1_revin_all_24_4: mse=0.3217 mae=0.3631 (0.25s)
[226] etth1_linmix_raw_24_0: mse=0.3178 mae=0.3620 (0.2s)
[227] etth1_linmix_raw_24_1: mse=0.3191 mae=0.3629 (0.25s)
[228] etth1_linmix_raw_24_2: mse=0.3183 mae=0.3618 (0.26s)
[229] etth1_linmix_raw_24_3: mse=0.3222 mae=0.3674 (0.18s)
[230] etth1_linmix_raw_24_4: mse=0.3203 mae=0.3641 (0.26s)
[231] etth1_linmix_revin_24_0: mse=0.3201 mae=0.3607 (0.26s)
[232] etth1_linmix_revin_24_1: mse=0.3158 mae=0.3577 (0.39s)
[233] etth1_linmix_revin_24_2: mse=0.3182 mae=0.3592 (0.23s)
[234] etth1_linmix_revin_24_3: mse=0.3184 mae=0.3599 (0.28s)
[235] etth1_linmix_revin_24_4: mse=0.3244 mae=0.3639 (0.24s)
[236] etth1_linmix_condnorm_24_0: mse=3.8035 mae=1.4594 (0.14s)
[237] etth1_linmix_condnorm_24_1: mse=3.7892 mae=1.4560 (0.16s)
[238] etth1_linmix_condnorm_24_2: mse=3.7976 mae=1.4573 (0.15s)
[239] etth1_linmix_condnorm_24_3: mse=3.7898 mae=1.4546 (0.14s)
[240] etth1_linmix_condnorm_24_4: mse=3.7991 mae=1.4565 (0.19s)
[241] etth1_revin_all_96_0: mse=0.4216 mae=0.4310 (0.25s)
[242] etth1_revin_all_96_1: mse=0.4135 mae=0.4290 (0.26s)
[243] etth1_revin_all_96_2: mse=0.3977 mae=0.4160 (0.27s)
[244] etth1_revin_all_96_3: mse=0.4090 mae=0.4240 (0.19s)
[245] etth1_revin_all_96_4: mse=0.4080 mae=0.4228 (0.25s)
[246] etth1_linmix_raw_96_0: mse=0.4064 mae=0.4288 (0.23s)
[247] etth1_linmix_raw_96_1: mse=0.4054 mae=0.4266 (0.21s)
[248] etth1_linmix_raw_96_2: mse=0.3979 mae=0.4226 (0.27s)
[249] etth1_linmix_raw_96_3: mse=0.4066 mae=0.4274 (0.15s)
[250] etth1_linmix_raw_96_4: mse=0.3977 mae=0.4202 (0.21s)
[251] etth1_linmix_revin_96_0: mse=0.4095 mae=0.4224 (0.34s)
[252] etth1_linmix_revin_96_1: mse=0.4097 mae=0.4253 (0.37s)
[253] etth1_linmix_revin_96_2: mse=0.3958 mae=0.4140 (0.39s)
[254] etth1_linmix_revin_96_3: mse=0.4037 mae=0.4196 (0.4s)
[255] etth1_linmix_revin_96_4: mse=0.4049 mae=0.4201 (0.34s)
[256] etth1_linmix_condnorm_96_0: mse=2.9606 mae=1.2725 (0.1s)
[257] etth1_linmix_condnorm_96_1: mse=2.8636 mae=1.2383 (0.1s)
[258] etth1_linmix_condnorm_96_2: mse=2.8813 mae=1.2553 (0.09s)
[259] etth1_linmix_condnorm_96_3: mse=2.9166 mae=1.2559 (0.1s)
[260] etth1_linmix_condnorm_96_4: mse=3.0049 mae=1.2778 (0.08s)
[261] etth1_revin_all_336_0: mse=0.4526 mae=0.4486 (0.57s)
[262] etth1_revin_all_336_1: mse=0.4576 mae=0.4526 (0.41s)
[263] etth1_revin_all_336_2: mse=0.4551 mae=0.4510 (0.47s)
[264] etth1_revin_all_336_3: mse=0.4547 mae=0.4501 (0.45s)
[265] etth1_revin_all_336_4: mse=0.4540 mae=0.4493 (0.55s)
[266] etth1_linmix_raw_336_0: mse=0.4687 mae=0.4686 (0.46s)
[267] etth1_linmix_raw_336_1: mse=0.4717 mae=0.4714 (0.44s)
[268] etth1_linmix_raw_336_2: mse=0.4718 mae=0.4718 (0.38s)
[269] etth1_linmix_raw_336_3: mse=0.4720 mae=0.4715 (0.38s)
[270] etth1_linmix_raw_336_4: mse=0.4652 mae=0.4656 (0.47s)
[271] etth1_linmix_revin_336_0: mse=0.4506 mae=0.4462 (0.57s)
[272] etth1_linmix_revin_336_1: mse=0.4459 mae=0.4432 (0.41s)
[273] etth1_linmix_revin_336_2: mse=0.4524 mae=0.4485 (0.45s)
[274] etth1_linmix_revin_336_3: mse=0.4515 mae=0.4477 (0.46s)
[275] etth1_linmix_revin_336_4: mse=0.4477 mae=0.4448 (0.5s)
[276] etth1_linmix_condnorm_336_0: mse=2.2821 mae=1.1403 (0.21s)
[277] etth1_linmix_condnorm_336_1: mse=2.3055 mae=1.1463 (0.15s)
[278] etth1_linmix_condnorm_336_2: mse=2.2380 mae=1.1306 (0.16s)
[279] etth1_linmix_condnorm_336_3: mse=2.2309 mae=1.1271 (0.14s)
[280] etth1_linmix_condnorm_336_4: mse=2.2264 mae=1.1269 (0.14s)
[281] etth2_revin_all_24_0: mse=0.1686 mae=0.2645 (0.39s)
[282] etth2_revin_all_24_1: mse=0.1657 mae=0.2616 (0.46s)
[283] etth2_revin_all_24_2: mse=0.1708 mae=0.2655 (0.36s)
[284] etth2_revin_all_24_3: mse=0.1679 mae=0.2633 (0.54s)
[285] etth2_revin_all_24_4: mse=0.1689 mae=0.2647 (0.44s)
[286] etth2_linmix_raw_24_0: mse=0.1731 mae=0.2722 (0.34s)
