zone,backbone,norm,h,seed,L,mse,lps
7,rlinear,revin,24,0,336,1.080001,0.7508
7,rlinear,revin,24,1,336,1.109101,0.7508
7,rlinear,revin,24,2,336,1.149354,0.7508
7,rlinear,revin,24,3,336,1.08218,0.7508
7,rlinear,revin,24,4,336,1.125642,0.7508
7,rlinear,condnorm,24,0,336,0.39533,0.7508
7,rlinear,condnorm,24,1,336,0.392384,0.7508
7,rlinear,condnorm,24,2,336,0.391462,0.7508
7,rlinear,condnorm,24,3,336,0.394514,0.7508
7,rlinear,condnorm,24,4,336,0.397079,0.7508
7,rlinear,raw,96,0,336,1.639911,0.7508
7,rlinear,raw,96,1,336,1.536854,0.7508
7,rlinear,raw,96,2,336,1.550507,0.7508
7,rlinear,raw,96,3,336,1.544102,0.7508
7,rlinear,raw,96,4,336,1.505717,0.7508
7,rlinear,revin,96,0,336,1.394714,0.7508
7,rlinear,revin,96,1,336,1.462827,0.7508
7,rlinear,revin,96,2,336,1.469318,0.7508
7,rlinear,revin,96,3,336,1.452946,0.7508
7,rlinear,revin,96,4,336,1.454424,0.7508
7,rlinear,condnorm,96,0,336,0.389399,0.7508
7,rlinear,condnorm,96,1,336,0.389551,0.7508
7,rlinear,condnorm,96,2,336,0.389866,0.7508
7,rlinear,condnorm,96,3,336,0.390048,0.7508
7,rlinear,condnorm,96,4,336,0.390632,0.7508
7,rlinear,raw,336,0,336,1.659204,0.7508
7,rlinear,raw,336,1,336,1.676417,0.7508
7,rlinear,raw,336,2,336,1.68214,0.7508
7,rlinear,raw,336,3,336,1.627776,0.7508
7,rlinear,raw,336,4,336,1.672935,0.7508
7,rlinear,revin,336,0,336,1.675361,0.7508
7,rlinear,revin,336,1,336,1.660973,0.7508
7,rlinear,revin,336,2,336,1.684742,0.7508
7,rlinear,revin,336,3,336,1.638669,0.7508
7,rlinear,revin,336,4,336,1.65625,0.7508
7,rlinear,condnorm,336,0,336,0.395885,0.7508
7,rlinear,condnorm,336,1,336,0.39623,0.7508
7,rlinear,condnorm,336,2,336,0.396317,0.7508
7,rlinear,condnorm,336,3,336,0.395396,0.7508
7,rlinear,condnorm,336,4,336,0.396244,0.7508
8,rlinear,raw,24,0,336,1.148979,0.6304
8,rlinear,raw,24,1,336,1.108605,0.6304
8,rlinear,raw,24,2,336,1.126138,0.6304
8,rlinear,raw,24,3,336,1.073831,0.6304
8,rlinear,raw,24,4,336,1.07686,0.6304
8,rlinear,revin,24,0,336,1.053391,0.6304
8,rlinear,revin,24,1,336,1.036897,0.6304
8,rlinear,revin,24,2,336,1.094569,0.6304
8,rlinear,revin,24,3,336,1.044224,0.6304
8,rlinear,revin,24,4,336,1.08424,0.6304
8,rlinear,condnorm,24,0,336,0.684174,0.6304
8,rlinear,condnorm,24,1,336,0.693549,0.6304
8,rlinear,condnorm,24,2,336,0.690525,0.6304
8,rlinear,condnorm,24,3,336,0.698806,0.6304
8,rlinear,condnorm,24,4,336,0.69209,0.6304
8,rlinear,raw,96,0,336,1.476921,0.6304
8,rlinear,raw,96,1,336,1.486006,0.6304
8,rlinear,raw,96,2,336,1.494841,0.6304
8,rlinear,raw,96,3,336,1.420168,0.6304
8,rlinear,raw,96,4,336,1.436007,0.6304
8,rlinear,revin,96,0,336,1.44089,0.6304
8,rlinear,revin,96,1,336,1.446013,0.6304
8,rlinear,revin,96,2,336,1.433335,0.6304
8,rlinear,revin,96,3,336,1.440259,0.6304
8,rlinear,revin,96,4,336,1.437437,0.6304
8,rlinear,condnorm,96,0,336,0.681037,0.6304
8,rlinear,condnorm,96,1,336,0.680318,0.6304
8,rlinear,condnorm,96,2,336,0.682883,0.6304
8,rlinear,condnorm,96,3,336,0.681748,0.6304
8,rlinear,condnorm,96,4,336,0.681094,0.6304
8,rlinear,raw,336,0,336,1.586621,0.6304
8,rlinear,raw,336,1,336,1.579734,0.6304
8,rlinear,raw,336,2,336,1.605583,0.6304
8,rlinear,raw,336,3,336,1.575186,0.6304
8,rlinear,raw,336,4,336,1.58886,0.6304
8,rlinear,revin,336,0,336,1.644564,0.6304
8,rlinear,revin,336,1,336,1.639115,0.6304
8,rlinear,revin,336,2,336,1.645446,0.6304
8,rlinear,revin,336,3,336,1.605905,0.6304
8,rlinear,revin,336,4,336,1.608899,0.6304
8,rlinear,condnorm,336,0,336,0.711977,0.6304
8,rlinear,condnorm,336,1,336,0.712172,0.6304
8,rlinear,condnorm,336,2,336,0.709996,0.6304
8,rlinear,condnorm,336,3,336,0.711094,0.6304
8,rlinear,condnorm,336,4,336,0.709662,0.6304
9,rlinear,raw,24,0,336,0.905676,0.6312
9,rlinear,raw,24,1,336,0.918036,0.6312
9,rlinear,raw,24,2,336,0.995268,0.6312
9,rlinear,raw,24,3,336,0.886691,0.6312
9,rlinear,raw,24,4,336,0.947402,0.6312
9,rlinear,revin,24,0,336,0.896046,0.6312
9,rlinear,revin,24,1,336,0.896483,0.6312
9,rlinear,revin,24,2,336,0.881962,0.6312
9,rlinear,revin,24,3,336,0.881798,0.6312
9,rlinear,revin,24,4,336,0.906828,0.6312
9,rlinear,condnorm,24,0,336,0.389922,0.6312
9,rlinear,condnorm,24,1,336,0.392047,0.6312
9,rlinear,condnorm,24,2,336,0.386488,0.6312
9,rlinear,condnorm,24,3,336,0.389073,0.6312
9,rlinear,condnorm,24,4,336,0.389753,0.6312
9,rlinear,raw,96,0,336,1.203954,0.6312
9,rlinear,raw,96,1,336,1.1798,0.6312
9,rlinear,raw,96,2,336,1.174103,0.6312
9,rlinear,raw,96,3,336,1.20936,0.6312
9,rlinear,raw,96,4,336,1.181437,0.6312
9,rlinear,revin,96,0,336,1.140372,0.6312
9,rlinear,revin,96,1,336,1.12845,0.6312
9,rlinear,revin,96,2,336,1.127184,0.6312
9,rlinear,revin,96,3,336,1.124647,0.6312
9,rlinear,revin,96,4,336,1.123034,0.6312
9,rlinear,condnorm,96,0,336,0.394081,0.6312
9,rlinear,condnorm,96,1,336,0.394178,0.6312
9,rlinear,condnorm,96,2,336,0.394326,0.6312
9,rlinear,condnorm,96,3,336,0.393951,0.6312
9,rlinear,condnorm,96,4,336,0.394617,0.6312
9,rlinear,raw,336,0,336,1.218325,0.6312
9,rlinear,raw,336,1,336,1.231809,0.6312
9,rlinear,raw,336,2,336,1.243368,0.6312
9,rlinear,raw,336,3,336,1.234387,0.6312
9,rlinear,raw,336,4,336,1.225034,0.6312
9,rlinear,revin,336,0,336,1.221576,0.6312
9,rlinear,revin,336,1,336,1.221908,0.6312
9,rlinear,revin,336,2,336,1.244909,0.6312
9,rlinear,revin,336,3,336,1.236335,0.6312
9,rlinear,revin,336,4,336,1.229222,0.6312
9,rlinear,condnorm,336,0,336,0.396526,0.6312
9,rlinear,condnorm,336,1,336,0.396511,0.6312
9,rlinear,condnorm,336,2,336,0.397055,0.6312
9,rlinear,condnorm,336,3,336,0.396044,0.6312
9,rlinear,condnorm,336,4,336,0.396717,0.6312
