dataset,arm,backbone,h,seed,pinball,crps,cov80,cov_lo,cov_hi
etth1,fan,rlinear_q,96,3,0.182444,0.364888,0.494982,0.245542,0.740524
etth1,fan,rlinear_q,96,4,0.180691,0.361382,0.68655,0.140434,0.826984
etth1,condnorm,rlinear_q,96,0,0.657494,1.314987,0.088269,0.35421,0.442479
etth1,condnorm,rlinear_q,96,1,0.654855,1.309709,0.088939,0.353037,0.441976
etth1,condnorm,rlinear_q,96,2,0.655721,1.311441,0.086196,0.353967,0.440163
etth1,condnorm,rlinear_q,96,3,0.652428,1.304856,0.096343,0.350169,0.446512
etth1,condnorm,rlinear_q,96,4,0.655281,1.310563,0.087475,0.353556,0.441032
etth1,raw,rlinear_q,336,0,0.180154,0.360309,0.807783,0.076696,0.884479
etth1,raw,rlinear_q,336,1,0.178935,0.35787,0.74274,0.11262,0.85536
etth1,raw,rlinear_q,336,2,0.179035,0.35807,0.808768,0.078183,0.88695
etth1,raw,rlinear_q,336,3,0.181447,0.362893,0.797912,0.083456,0.881368
etth1,raw,rlinear_q,336,4,0.182167,0.364334,0.807221,0.082039,0.88926
etth1,revin,rlinear_q,336,0,0.17631,0.35262,0.824183,0.091311,0.915495
etth1,revin,rlinear_q,336,1,0.175749,0.351499,0.827526,0.088157,0.915683
etth1,revin,rlinear_q,336,2,0.176538,0.353076,0.831918,0.089003,0.920922
etth1,revin,rlinear_q,336,3,0.175964,0.351929,0.832182,0.085535,0.917717
etth1,revin,rlinear_q,336,4,0.175137,0.350274,0.834109,0.08647,0.92058
etth1,san,rlinear_q,336,0,0.179954,0.359909,0.722199,0.138876,0.861074
etth1,san,rlinear_q,336,1,0.180413,0.360826,0.722548,0.137972,0.86052
etth1,san,rlinear_q,336,2,0.180435,0.360871,0.726185,0.137423,0.863608
etth1,san,rlinear_q,336,3,0.180786,0.361573,0.717746,0.139295,0.857041
etth1,san,rlinear_q,336,4,0.18071,0.361419,0.721973,0.139221,0.861194
etth1,fan,rlinear_q,336,0,0.205391,0.410783,0.525557,0.186111,0.711668
etth1,fan,rlinear_q,336,1,0.206884,0.413767,0.520223,0.195998,0.716221
etth1,fan,rlinear_q,336,2,0.200846,0.401692,0.542626,0.177188,0.719814
etth1,fan,rlinear_q,336,3,0.197648,0.395297,0.674898,0.096366,0.771265
etth1,fan,rlinear_q,336,4,0.199261,0.398522,0.555792,0.139876,0.695667
etth1,condnorm,rlinear_q,336,0,0.514879,1.029759,0.249115,0.274539,0.523654
etth1,condnorm,rlinear_q,336,1,0.515015,1.03003,0.250328,0.27282,0.523147
etth1,condnorm,rlinear_q,336,2,0.515416,1.030831,0.250433,0.27307,0.523503
etth1,condnorm,rlinear_q,336,3,0.514231,1.028461,0.242929,0.276877,0.519807
etth1,condnorm,rlinear_q,336,4,0.514942,1.029884,0.241509,0.277548,0.519057
etth2,raw,rlinear_q,24,0,0.108844,0.217687,0.816943,0.084921,0.901864
etth2,raw,rlinear_q,24,1,0.108792,0.217583,0.823947,0.092613,0.91656
etth2,raw,rlinear_q,24,2,0.108885,0.217769,0.804974,0.108093,0.913066
etth2,raw,rlinear_q,24,3,0.109073,0.218147,0.803405,0.114695,0.9181
etth2,raw,rlinear_q,24,4,0.109124,0.218248,0.841207,0.089467,0.930674
etth2,revin,rlinear_q,24,0,0.10386,0.20772,0.754538,0.126071,0.880609
etth2,revin,rlinear_q,24,1,0.103722,0.207445,0.744171,0.129127,0.873298
etth2,revin,rlinear_q,24,2,0.1036,0.207199,0.731647,0.138505,0.870152
etth2,revin,rlinear_q,24,3,0.103664,0.207328,0.738747,0.132565,0.871312
etth2,revin,rlinear_q,24,4,0.103629,0.207257,0.738331,0.132032,0.870362
etth2,san,rlinear_q,24,0,0.106164,0.212327,0.736822,0.134742,0.871564
etth2,san,rlinear_q,24,1,0.106425,0.212849,0.738268,0.135521,0.87379
etth2,san,rlinear_q,24,2,0.106857,0.213715,0.725001,0.139865,0.864866
etth2,san,rlinear_q,24,3,0.105967,0.211934,0.707717,0.149272,0.856989
etth2,san,rlinear_q,24,4,0.106744,0.213488,0.720474,0.141857,0.862331
etth2,fan,rlinear_q,24,0,0.115243,0.230486,0.700633,0.137611,0.838244
etth2,fan,rlinear_q,24,1,0.116109,0.232218,0.754188,0.13939,0.893578
etth2,fan,rlinear_q,24,2,0.117017,0.234034,0.697377,0.157593,0.854968
etth2,fan,rlinear_q,24,3,0.115692,0.231383,0.765467,0.134859,0.900326
etth2,fan,rlinear_q,24,4,0.11458,0.229159,0.763849,0.114418,0.878267
