dataset,arm,h,seed,mse,mae,nmae
gefcom_solar,linmix_condnorm,336,2,0.065463,0.157172,
gefcom_solar,linmix_condnorm,336,3,0.065806,0.158304,
gefcom_solar,linmix_condnorm,336,4,0.065595,0.157224,
etth1,revin_all,24,0,0.324931,0.364757,
electricity,first_stage_only,336,0,0.320822,0.385037,
etth1,revin_all,24,1,0.324758,0.364322,
etth1,revin_all,24,2,0.323372,0.363594,
etth1,revin_all,24,3,0.323848,0.364794,
etth1,revin_all,24,4,0.321688,0.36314,
etth1,linmix_raw,24,0,0.317771,0.361952,
etth1,linmix_raw,24,1,0.319087,0.362899,
etth1,linmix_raw,24,2,0.318251,0.361829,
etth1,linmix_raw,24,3,0.322205,0.367356,
etth1,linmix_raw,24,4,0.320292,0.364128,
etth1,linmix_revin,24,0,0.320086,0.360666,
etth1,linmix_revin,24,1,0.31584,0.357681,
etth1,linmix_revin,24,2,0.318243,0.359175,
etth1,linmix_revin,24,3,0.318406,0.359894,
etth1,linmix_revin,24,4,0.324416,0.363935,
etth1,linmix_condnorm,24,0,3.803508,1.45941,
etth1,linmix_condnorm,24,1,3.789201,1.456026,
etth1,linmix_condnorm,24,2,3.797575,1.457281,
etth1,linmix_condnorm,24,3,3.789818,1.454647,
etth1,linmix_condnorm,24,4,3.799117,1.456471,
etth1,revin_all,96,0,0.421551,0.430972,
etth1,revin_all,96,1,0.413506,0.429037,
etth1,revin_all,96,2,0.397654,0.416001,
etth1,revin_all,96,3,0.408953,0.424,
etth1,revin_all,96,4,0.407971,0.422786,
etth1,linmix_raw,96,0,0.406354,0.428771,
etth1,linmix_raw,96,1,0.405378,0.426617,
etth1,linmix_raw,96,2,0.3979,0.422618,
etth1,linmix_raw,96,3,0.406565,0.427391,
etth1,linmix_raw,96,4,0.39768,0.420205,
etth1,linmix_revin,96,0,0.409479,0.422362,
etth1,linmix_revin,96,1,0.409654,0.425331,
etth1,linmix_revin,96,2,0.395834,0.41402,
etth1,linmix_revin,96,3,0.403725,0.419564,
etth1,linmix_revin,96,4,0.404882,0.42006,
etth1,linmix_condnorm,96,0,2.960557,1.272503,
etth1,linmix_condnorm,96,1,2.863629,1.238281,
etth1,linmix_condnorm,96,2,2.881336,1.255316,
etth1,linmix_condnorm,96,3,2.916586,1.255875,
etth1,linmix_condnorm,96,4,3.004899,1.277816,
etth1,revin_all,336,0,0.452638,0.448591,
etth1,revin_all,336,1,0.457639,0.452556,
etth1,revin_all,336,2,0.455082,0.450971,
etth1,revin_all,336,3,0.454677,0.450113,
etth1,revin_all,336,4,0.453959,0.449329,
etth1,linmix_raw,336,0,0.468685,0.468565,
