dataset,arm,footing,backbone,h,seed,L,mse,threads,wall_s
gefcom_wind,revin,scale,mlpmix,96,3,336,0.231048,8,1.0
gefcom_wind,revin,scale,mlpmix,96,4,336,0.231698,8,0.9
gefcom_wind,raw,global,mlpmix,336,0,192,0.290857,8,0.6
gefcom_wind,raw,global,mlpmix,336,1,192,0.292229,8,0.7
gefcom_wind,raw,global,mlpmix,336,2,192,0.299726,8,1.0
gefcom_wind,raw,global,mlpmix,336,3,192,0.301076,8,1.0
gefcom_wind,raw,global,mlpmix,336,4,192,0.285965,8,0.7
gefcom_wind,revin,global,mlpmix,336,0,192,0.408458,8,1.3
gefcom_wind,revin,global,mlpmix,336,1,192,0.392602,8,1.4
gefcom_wind,revin,global,mlpmix,336,2,192,0.390758,8,1.3
gefcom_wind,revin,global,mlpmix,336,3,192,0.381309,8,1.3
gefcom_wind,revin,global,mlpmix,336,4,192,0.382996,8,1.5
gefcom_wind,raw,window,mlpmix,336,0,192,0.375873,8,0.5
gefcom_wind,raw,window,mlpmix,336,1,192,0.369851,8,0.9
gefcom_wind,raw,window,mlpmix,336,2,192,0.382171,8,0.6
gefcom_wind,raw,window,mlpmix,336,3,192,0.370819,8,1.0
gefcom_wind,raw,window,mlpmix,336,4,192,0.377154,8,1.0
gefcom_wind,revin,window,mlpmix,336,0,192,0.321375,8,1.2
gefcom_wind,revin,window,mlpmix,336,1,192,0.324681,8,0.9
gefcom_wind,revin,window,mlpmix,336,2,192,0.327475,8,1.8
gefcom_wind,revin,window,mlpmix,336,3,192,0.331104,8,1.5
gefcom_wind,revin,window,mlpmix,336,4,192,0.31666,8,1.2
gefcom_wind,raw,window_floor,mlpmix,336,0,192,0.375873,8,0.6
gefcom_wind,raw,window_floor,mlpmix,336,1,192,0.369851,8,1.0
gefcom_wind,raw,window_floor,mlpmix,336,2,192,0.382171,8,0.5
gefcom_wind,raw,window_floor,mlpmix,336,3,192,0.370819,8,0.8
gefcom_wind,raw,window_floor,mlpmix,336,4,192,0.377154,8,0.9
gefcom_wind,revin,window_floor,mlpmix,336,0,192,0.321375,8,1.1
gefcom_wind,revin,window_floor,mlpmix,336,1,192,0.324681,8,1.0
gefcom_wind,revin,window_floor,mlpmix,336,2,192,0.327475,8,1.3
gefcom_wind,revin,window_floor,mlpmix,336,3,192,0.331104,8,1.3
gefcom_wind,revin,window_floor,mlpmix,336,4,192,0.31666,8,1.0
gefcom_wind,raw,scale,mlpmix,336,0,192,0.358272,8,0.7
gefcom_wind,raw,scale,mlpmix,336,1,192,0.385319,8,0.9
gefcom_wind,raw,scale,mlpmix,336,2,192,0.379924,8,1.0
gefcom_wind,raw,scale,mlpmix,336,3,192,0.379851,8,0.8
gefcom_wind,raw,scale,mlpmix,336,4,192,0.375006,8,1.0
gefcom_wind,revin,scale,mlpmix,336,0,192,0.304704,8,1.3
gefcom_wind,revin,scale,mlpmix,336,1,192,0.310514,8,1.5
gefcom_wind,revin,scale,mlpmix,336,2,192,0.312345,8,0.8
gefcom_wind,revin,scale,mlpmix,336,3,192,0.322723,8,0.8
gefcom_wind,revin,scale,mlpmix,336,4,192,0.301233,8,1.3
gefcom_solar,raw,global,linmix,24,0,192,0.160753,8,0.2
gefcom_solar,raw,global,linmix,24,1,192,0.166929,8,0.1
gefcom_solar,raw,global,linmix,24,2,192,0.161565,8,0.2
gefcom_solar,raw,global,linmix,24,3,192,0.156627,8,0.2
gefcom_solar,raw,global,linmix,24,4,192,0.15966,8,0.2
gefcom_solar,revin,global,linmix,24,0,192,0.142852,8,0.3
gefcom_solar,revin,global,linmix,24,1,192,0.149075,8,0.3
gefcom_solar,revin,global,linmix,24,2,192,0.146899,8,0.3
gefcom_solar,revin,global,linmix,24,3,192,0.148412,8,0.5
gefcom_solar,revin,global,linmix,24,4,192,0.145231,8,0.3
gefcom_solar,raw,window,linmix,24,0,192,1.27815,8,0.5
gefcom_solar,raw,window,linmix,24,1,192,6.198569,8,0.3
gefcom_solar,raw,window,linmix,24,2,192,0.362511,8,0.8
gefcom_solar,raw,window,linmix,24,3,192,0.730481,8,0.5
gefcom_solar,raw,window,linmix,24,4,192,0.385805,8,0.6
gefcom_solar,revin,window,linmix,24,0,192,0.210469,8,1.2
gefcom_solar,revin,window,linmix,24,1,192,0.211986,8,0.9
gefcom_solar,revin,window,linmix,24,2,192,0.365216,8,0.8
gefcom_solar,revin,window,linmix,24,3,192,0.577399,8,0.5
gefcom_solar,revin,window,linmix,24,4,192,0.216677,8,0.9
gefcom_solar,raw,window_floor,linmix,24,0,192,0.155365,8,0.5
gefcom_solar,raw,window_floor,linmix,24,1,192,0.150802,8,0.6
gefcom_solar,raw,window_floor,linmix,24,2,192,0.147886,8,0.5
gefcom_solar,raw,window_floor,linmix,24,3,192,0.15565,8,0.5
gefcom_solar,raw,window_floor,linmix,24,4,192,0.165014,8,0.4
gefcom_solar,revin,window_floor,linmix,24,0,192,0.139307,8,0.5
gefcom_solar,revin,window_floor,linmix,24,1,192,0.137074,8,0.7
gefcom_solar,revin,window_floor,linmix,24,2,192,0.138078,8,0.7
gefcom_solar,revin,window_floor,linmix,24,3,192,0.137429,8,0.6
gefcom_solar,revin,window_floor,linmix,24,4,192,0.135774,8,0.8
gefcom_solar,raw,scale,linmix,24,0,192,0.159628,8,0.2
gefcom_solar,raw,scale,linmix,24,1,192,0.182218,8,0.2
gefcom_solar,raw,scale,linmix,24,2,192,0.16181,8,0.2
gefcom_solar,raw,scale,linmix,24,3,192,0.173235,8,0.2
gefcom_solar,raw,scale,linmix,24,4,192,0.16589,8,0.2
gefcom_solar,revin,scale,linmix,24,0,192,0.14678,8,0.3
gefcom_solar,revin,scale,linmix,24,1,192,0.149613,8,0.4
gefcom_solar,revin,scale,linmix,24,2,192,0.147498,8,0.3
gefcom_solar,revin,scale,linmix,24,3,192,0.146224,8,0.4
gefcom_solar,revin,scale,linmix,24,4,192,0.144867,8,0.3
gefcom_solar,raw,global,linmix,96,0,96,0.149163,8,0.2
gefcom_solar,raw,global,linmix,96,1,96,0.14386,8,0.3
gefcom_solar,raw,global,linmix,96,2,96,0.143007,8,0.2
gefcom_solar,raw,global,linmix,96,3,96,0.145453,8,0.2
gefcom_solar,raw,global,linmix,96,4,96,0.150216,8,0.2
gefcom_solar,revin,global,linmix,96,0,96,0.149104,8,0.4
gefcom_solar,revin,global,linmix,96,1,96,0.143318,8,0.7
gefcom_solar,revin,global,linmix,96,2,96,0.149419,8,0.5
gefcom_solar,revin,global,linmix,96,3,96,0.151606,8,0.5
gefcom_solar,revin,global,linmix,96,4,96,0.134525,8,0.9
gefcom_solar,raw,window,linmix,96,0,96,19.618219,8,0.4
gefcom_solar,raw,window,linmix,96,1,96,39.745018,8,0.5
gefcom_solar,raw,window,linmix,96,2,96,23.325195,8,0.4
gefcom_solar,raw,window,linmix,96,3,96,16.72831,8,0.4
gefcom_solar,raw,window,linmix,96,4,96,17.468863,8,0.6
gefcom_solar,revin,window,linmix,96,0,96,9.671631,8,0.5
gefcom_solar,revin,window,linmix,96,1,96,9.306678,8,0.6
gefcom_solar,revin,window,linmix,96,2,96,4.138613,8,0.7
gefcom_solar,revin,window,linmix,96,3,96,3.068535,8,0.9
gefcom_solar,revin,window,linmix,96,4,96,7.205335,8,0.8
gefcom_solar,raw,window_floor,linmix,96,0,96,0.206525,8,0.4
gefcom_solar,raw,window_floor,linmix,96,1,96,0.200554,8,0.5
gefcom_solar,raw,window_floor,linmix,96,2,96,0.200873,8,0.4
gefcom_solar,raw,window_floor,linmix,96,3,96,0.228986,8,0.4
gefcom_solar,raw,window_floor,linmix,96,4,96,0.205048,8,0.4
gefcom_solar,revin,window_floor,linmix,96,0,96,0.172615,8,0.7
gefcom_solar,revin,window_floor,linmix,96,1,96,0.178253,8,0.7
gefcom_solar,revin,window_floor,linmix,96,2,96,0.184491,8,0.7
gefcom_solar,revin,window_floor,linmix,96,3,96,0.189049,8,1.2
gefcom_solar,revin,window_floor,linmix,96,4,96,0.183024,8,0.5
gefcom_solar,raw,scale,linmix,96,0,96,0.168141,8,0.4
gefcom_solar,raw,scale,linmix,96,1,96,0.172077,8,0.3
gefcom_solar,raw,scale,linmix,96,2,96,0.165226,8,0.3
gefcom_solar,raw,scale,linmix,96,3,96,0.172691,8,0.5
gefcom_solar,raw,scale,linmix,96,4,96,0.175335,8,0.6
gefcom_solar,revin,scale,linmix,96,0,96,0.125883,8,2.5
gefcom_solar,revin,scale,linmix,96,1,96,0.133678,8,2.2
gefcom_solar,revin,scale,linmix,96,2,96,0.137337,8,1.2
gefcom_solar,revin,scale,linmix,96,3,96,0.137023,8,1.0
gefcom_solar,revin,scale,linmix,96,4,96,0.138772,8,1.1
gefcom_solar,raw,global,linmix,336,0,96,0.195011,8,3.0
gefcom_solar,raw,global,linmix,336,1,96,0.188812,8,2.7
gefcom_solar,raw,global,linmix,336,2,96,0.192152,8,2.7
gefcom_solar,raw,global,linmix,336,3,96,0.195003,8,2.7
gefcom_solar,raw,global,linmix,336,4,96,0.190433,8,2.3
gefcom_solar,revin,global,linmix,336,0,96,0.193744,8,3.3
gefcom_solar,revin,global,linmix,336,1,96,0.195254,8,3.4
gefcom_solar,revin,global,linmix,336,2,96,0.199837,8,3.4
gefcom_solar,revin,global,linmix,336,3,96,0.1932,8,3.3
gefcom_solar,revin,global,linmix,336,4,96,0.192945,8,3.2
gefcom_solar,raw,window,linmix,336,0,96,919.867065,8,3.3
gefcom_solar,raw,window,linmix,336,1,96,1056.025757,8,2.6
gefcom_solar,raw,window,linmix,336,2,96,684.02594,8,2.3
gefcom_solar,raw,window,linmix,336,3,96,680.603271,8,3.4
gefcom_solar,raw,window,linmix,336,4,96,599.041687,8,2.3
gefcom_solar,revin,window,linmix,336,0,96,197.907867,8,4.4
gefcom_solar,revin,window,linmix,336,1,96,103.673691,8,8.9
gefcom_solar,revin,window,linmix,336,2,96,56.43203,8,9.8
gefcom_solar,revin,window,linmix,336,3,96,165.852386,8,26.4
gefcom_solar,revin,window,linmix,336,4,96,182.876862,8,20.9
gefcom_solar,raw,window_floor,linmix,336,0,96,0.687171,8,10.3
gefcom_solar,raw,window_floor,linmix,336,1,96,0.631389,8,10.4
gefcom_solar,raw,window_floor,linmix,336,2,96,0.591798,8,16.2
gefcom_solar,raw,window_floor,linmix,336,3,96,0.609971,8,15.7
gefcom_solar,raw,window_floor,linmix,336,4,96,0.55279,8,11.5
gefcom_solar,revin,window_floor,linmix,336,0,96,0.496753,8,23.8
gefcom_solar,revin,window_floor,linmix,336,1,96,0.405883,8,13.2
gefcom_solar,revin,window_floor,linmix,336,2,96,0.431701,8,17.7
gefcom_solar,revin,window_floor,linmix,336,3,96,0.452902,8,18.5
gefcom_solar,revin,window_floor,linmix,336,4,96,0.440887,8,20.5
gefcom_solar,raw,scale,linmix,336,0,96,0.252708,8,16.1
gefcom_solar,raw,scale,linmix,336,1,96,0.251942,8,10.6
gefcom_solar,raw,scale,linmix,336,2,96,0.250311,8,3.3
gefcom_solar,raw,scale,linmix,336,3,96,0.256853,8,3.1
gefcom_solar,raw,scale,linmix,336,4,96,0.243293,8,3.8
gefcom_solar,revin,scale,linmix,336,0,96,0.179075,8,3.6
gefcom_solar,revin,scale,linmix,336,1,96,0.175648,8,3.5
gefcom_solar,revin,scale,linmix,336,2,96,0.180752,8,9.7
gefcom_solar,revin,scale,linmix,336,3,96,0.176949,8,14.7
gefcom_solar,revin,scale,linmix,336,4,96,0.1751,8,20.5
gefcom_solar,raw,global,mlpmix,24,0,192,0.083216,8,7.4
gefcom_solar,raw,global,mlpmix,24,1,192,0.080706,8,5.6
gefcom_solar,raw,global,mlpmix,24,2,192,0.084403,8,2.6
gefcom_solar,raw,global,mlpmix,24,3,192,0.081562,8,5.8
gefcom_solar,raw,global,mlpmix,24,4,192,0.080352,8,4.6
gefcom_solar,revin,global,mlpmix,24,0,192,0.081497,8,8.5
gefcom_solar,revin,global,mlpmix,24,1,192,0.082149,8,6.6
gefcom_solar,revin,global,mlpmix,24,2,192,0.084485,8,8.1
gefcom_solar,revin,global,mlpmix,24,3,192,0.08481,8,8.3
gefcom_solar,revin,global,mlpmix,24,4,192,0.083213,8,5.7
gefcom_solar,raw,window,mlpmix,24,0,192,0.104394,8,2.6
gefcom_solar,raw,window,mlpmix,24,1,192,0.102304,8,3.8
gefcom_solar,raw,window,mlpmix,24,2,192,0.102887,8,3.0
gefcom_solar,raw,window,mlpmix,24,3,192,0.102812,8,4.1
gefcom_solar,raw,window,mlpmix,24,4,192,0.099492,8,3.7
gefcom_solar,revin,window,mlpmix,24,0,192,0.103726,8,5.6
gefcom_solar,revin,window,mlpmix,24,1,192,0.099223,8,6.3
gefcom_solar,revin,window,mlpmix,24,2,192,0.103897,8,3.2
gefcom_solar,revin,window,mlpmix,24,3,192,0.096292,8,8.3
gefcom_solar,revin,window,mlpmix,24,4,192,0.102053,8,6.2
gefcom_solar,raw,window_floor,mlpmix,24,0,192,0.088867,8,3.1
gefcom_solar,raw,window_floor,mlpmix,24,1,192,0.088757,8,4.9
gefcom_solar,raw,window_floor,mlpmix,24,2,192,0.089468,8,3.9
gefcom_solar,raw,window_floor,mlpmix,24,3,192,0.088809,8,2.9
