lam,seed,L,h,norm,mse,mae,epochs,r2_level,sigma_est2,th_level_term,wall_s
0.0,5,96,24,cn_est,0.453376,0.537741,8,0.0006,4.443963,4.490645,0.16
0.0,5,96,96,raw,0.483475,0.556538,7,0.0006,nan,4.44684,0.14
0.0,5,96,96,revin,0.455624,0.541047,10,0.0006,nan,0.063107,0.29
0.0,5,96,96,cn_oracle,0.396726,0.503795,8,0.0006,nan,0.0,0.19
0.0,5,96,96,cn_est,0.500823,0.565384,7,0.0006,4.443963,4.486148,0.13
0.0,5,96,336,raw,0.578068,0.608134,9,0.0006,nan,4.410951,0.17
0.0,5,96,336,revin,0.536655,0.588063,7,0.0006,nan,0.149751,0.2
0.0,5,96,336,cn_oracle,0.394188,0.502043,7,0.0006,nan,0.0,0.11
0.0,5,96,336,cn_est,0.595228,0.617076,9,0.0006,4.443963,4.450699,0.14
0.0,5,336,24,raw,0.466028,0.546836,10,0.0006,nan,4.452158,0.16
0.0,5,336,24,revin,0.423895,0.521037,7,0.0006,nan,0.094477,0.24
0.0,5,336,24,cn_oracle,0.390441,0.499209,9,0.0006,nan,0.0,0.17
0.0,5,336,24,cn_est,0.483504,0.555648,7,0.0006,4.325397,4.490645,0.12
0.0,5,336,96,raw,0.556256,0.596813,6,0.0006,nan,4.44684,0.11
0.0,5,336,96,revin,0.456196,0.541445,6,0.0006,nan,0.123891,0.18
0.0,5,336,96,cn_oracle,0.39624,0.502717,6,0.0006,nan,0.0,0.22
0.0,5,336,96,cn_est,0.580771,0.608922,6,0.0006,4.325397,4.486148,0.11
0.0,5,336,336,raw,0.682199,0.658553,7,0.0006,nan,4.410951,0.11
0.0,5,336,336,revin,0.540889,0.589736,5,0.0006,nan,0.20422,0.13
0.0,5,336,336,cn_oracle,0.393918,0.501174,5,0.0006,nan,0.0,0.08
0.0,5,336,336,cn_est,0.712561,0.673285,7,0.0006,4.325397,4.450699,0.11
0.0,6,96,24,raw,0.210482,0.365553,15,0.0024,nan,0.334806,0.26
0.0,6,96,24,revin,0.2107,0.365674,6,0.0024,nan,0.013365,0.16
0.0,6,96,24,cn_oracle,0.198833,0.355093,5,0.0024,nan,0.0,0.09
0.0,6,96,24,cn_est,0.230684,0.382665,15,0.0024,0.337624,0.343913,0.31
0.0,6,96,96,raw,0.217102,0.370429,12,0.0024,nan,0.335991,0.2
0.0,6,96,96,revin,0.216743,0.370088,5,0.0024,nan,0.017754,0.14
0.0,6,96,96,cn_oracle,0.200107,0.356183,5,0.0024,nan,0.0,0.13
0.0,6,96,96,cn_est,0.236927,0.388017,12,0.0024,0.337624,0.345177,0.19
0.0,6,96,336,raw,0.235237,0.38643,9,0.0024,nan,0.344259,0.15
0.0,6,96,336,revin,0.232466,0.38428,7,0.0024,nan,0.027759,0.2
0.0,6,96,336,cn_oracle,0.201459,0.358115,9,0.0024,nan,0.0,0.17
0.0,6,96,336,cn_est,0.25567,0.403539,9,0.0024,0.337624,0.353323,0.15
0.0,6,336,24,raw,0.2091,0.364928,14,0.0024,nan,0.334806,0.27
0.0,6,336,24,revin,0.210847,0.366835,10,0.0024,nan,0.015701,0.31
0.0,6,336,24,cn_oracle,0.198688,0.356441,9,0.0024,nan,0.0,0.15
0.0,6,336,24,cn_est,0.230465,0.383178,14,0.0024,0.320478,0.343913,0.22
0.0,6,336,96,raw,0.219689,0.374105,9,0.0024,nan,0.335991,0.16
0.0,6,336,96,revin,0.217691,0.372428,6,0.0024,nan,0.018815,0.16
0.0,6,336,96,cn_oracle,0.200998,0.358852,5,0.0024,nan,0.0,0.1
