dataset,arm,backbone,h,seed,variant,width80,upper_margin,pinball,crps,cov80,cov_lo,cov_hi,val_cov80
gefcom_solar,revin,rlinear_q,24,1,none,0.820749,0.31416,0.088498,0.176995,0.891528,0.055346,0.946873,0.900526
gefcom_solar,revin,rlinear_q,24,1,pooled,0.667246,0.23333,0.086591,0.173182,0.801117,0.115693,0.91681,0.820427
gefcom_solar,revin,rlinear_q,24,1,perstep,0.64576,0.225639,0.085469,0.170939,0.812412,0.108936,0.921348,0.833278
gefcom_solar,revin,rlinear_q,24,2,none,0.861737,0.329833,0.08779,0.17558,0.907315,0.046966,0.954281,0.911588
gefcom_solar,revin,rlinear_q,24,2,pooled,0.717724,0.263392,0.085964,0.171927,0.815978,0.103747,0.919725,0.82842
gefcom_solar,revin,rlinear_q,24,2,perstep,0.704038,0.258108,0.084725,0.169449,0.835078,0.092872,0.92795,0.846935
gefcom_solar,revin,rlinear_q,24,3,none,0.809109,0.324566,0.087829,0.175657,0.883247,0.064278,0.947525,0.889739
gefcom_solar,revin,rlinear_q,24,3,pooled,0.699632,0.271004,0.086744,0.173488,0.79573,0.117901,0.913631,0.809618
gefcom_solar,revin,rlinear_q,24,3,perstep,0.676046,0.262263,0.085137,0.170275,0.820339,0.102742,0.923081,0.833057
gefcom_solar,revin,rlinear_q,24,4,none,0.801254,0.310184,0.087499,0.174998,0.880763,0.058768,0.939531,0.887332
gefcom_solar,revin,rlinear_q,24,4,pooled,0.687746,0.256669,0.086205,0.172411,0.796204,0.117603,0.913807,0.813626
gefcom_solar,revin,rlinear_q,24,4,perstep,0.664982,0.239966,0.084789,0.169578,0.815437,0.110228,0.925665,0.832119
gefcom_solar,condnorm,rlinear_q,24,0,none,0.231454,0.12051,0.057353,0.114706,0.674583,0.15832,0.832903,0.655218
gefcom_solar,condnorm,rlinear_q,24,0,pooled,0.443302,0.242157,0.056861,0.113721,0.820306,0.093634,0.91394,0.799991
gefcom_solar,condnorm,rlinear_q,24,0,perstep,0.442875,0.241897,0.05686,0.113719,0.820096,0.093535,0.913631,0.799682
gefcom_solar,condnorm,rlinear_q,24,1,none,0.19333,0.100389,0.057505,0.11501,0.643747,0.174307,0.818053,0.625132
gefcom_solar,condnorm,rlinear_q,24,1,pooled,0.435862,0.237319,0.056791,0.113583,0.819467,0.093027,0.912493,0.799991
gefcom_solar,condnorm,rlinear_q,24,1,perstep,0.436328,0.237845,0.05679,0.11358,0.819301,0.093237,0.912538,0.799682
gefcom_solar,condnorm,rlinear_q,24,2,none,0.159907,0.081857,0.057682,0.115364,0.615218,0.188317,0.803535,0.598404
gefcom_solar,condnorm,rlinear_q,24,2,pooled,0.428065,0.232201,0.056745,0.11349,0.818948,0.093435,0.912383,0.799991
gefcom_solar,condnorm,rlinear_q,24,2,perstep,0.426931,0.231781,0.056743,0.113486,0.818429,0.093733,0.912162,0.799682
gefcom_solar,condnorm,rlinear_q,24,3,none,0.179032,0.091511,0.057395,0.11479,0.634517,0.17859,0.813107,0.615218
gefcom_solar,condnorm,rlinear_q,24,3,pooled,0.431495,0.234413,0.056624,0.113247,0.820019,0.092795,0.912814,0.799991
gefcom_solar,condnorm,rlinear_q,24,3,perstep,0.431198,0.234098,0.056622,0.113244,0.820129,0.092718,0.912847,0.799682
gefcom_solar,condnorm,rlinear_q,24,4,none,0.194469,0.101728,0.0574,0.1148,0.6493,0.171734,0.821034,0.629758
gefcom_solar,condnorm,rlinear_q,24,4,pooled,0.434626,0.237039,0.056727,0.113454,0.820085,0.092894,0.912979,0.799991
gefcom_solar,condnorm,rlinear_q,24,4,perstep,0.4353,0.237473,0.056725,0.11345,0.820239,0.092839,0.913079,0.799682
